
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.833 | 1  |         Comm Error         |            -           
   1.833 | 2  |    0.151    0.222    0.960 |    13.3    -7.9  -102.4
   1.833 | 3  |         Comm Error         |            -           
   1.833 | 4  |         Comm Error         |            -           
   1.833 | 5  |    0.963   -0.051    0.269 |   -10.2   -73.1   -21.8
   1.872 | 0  |    0.863   -0.042   -0.527 |  -176.0   -58.0   -28.4
   1.872 | 1  |         Comm Error         |            -           
   1.872 | 2  |    0.133    0.224    0.947 |    13.3    -7.8  -102.4
   1.872 | 3  |         Comm Error         |            -           
   1.872 | 4  |         Comm Error         |            -           
   1.872 | 5  |    0.964   -0.049    0.271 |   -10.2   -73.2   -21.8
   1.911 | 0  |    0.862   -0.042   -0.531 |  -175.9   -58.0   -28.5
   1.911 | 1  |         Comm Error         |            -           
   1.911 | 2  |    0.143    0.227    0.952 |    13.3    -7.9  -102.5
   1.911 | 3  |         Comm Error         |            -           
   1.911 | 4  |         Comm Error         |            -           
   1.911 | 5  |    0.964   -0.051    0.270 |   -10.2   -73.2   -21.7
   1.949 | 0  |    0.865   -0.039   -0.535 |  -175.9   -58.0   -28.4
   1.949 | 1  |         Comm Error         |            -           
   1.949 | 2  |    0.119    0.228    0.956 |    13.2    -7.8  -102.5
   1.949 | 3  |         Comm Error         |            -           
   1.949 | 4  |         Comm Error         |            -           
   1.949 | 5  |    0.964   -0.049    0.275 |   -10.1   -73.2   -21.7
   1.987 | 0  |    0.874   -0.033   -0.539 |  -176.0   -58.0   -28.3
   1.987 | 1  |         Comm Error         |            -           
   1.987 | 2  |    0.130    0.229    0.969 |    13.2    -7.7  -102.5
   1.987 | 3  |         Comm Error         |            -           
   1.987 | 4  |         Comm Error         |            -           
   1.987 | 5  |    0.966   -0.052    0.271 |   -10.1   -73.3   -21.7
   2.025 | 0  |    0.876   -0.032   -0.542 |  -176.1   -58.0   -28.1
   2.025 | 1  |         Comm Error         |            -           
   2.025 | 2  |    0.119    0.231    0.980 |    13.2    -7.5  -102.5
   2.025 | 3  |         Comm Error         |            -           
   2.025 | 4  |         Comm Error         |            -           
   2.025 | 5  |    0.965   -0.050    0.270 |   -10.2   -73.3   -21.6
   2.063 | 0  |    0.872   -0.033   -0.542 |  -176.3   -57.9   -28.0
   2.063 | 1  |         Comm Error         |            -           
   2.063 | 2  |    0.121    0.233    0.981 |    13.2    -7.3  -102.5
   2.063 | 3  |         Comm Error         |            -           
   2.063 | 4  |         Comm Error         |            -           
   2.063 | 5  |    0.970   -0.051    0.265 |   -10.3   -73.4   -21.5
   2.102 | 0  |    0.874   -0.033   -0.542 |  -176.4   -57.8   -27.9
   2.102 | 1  |         Comm Error         |            -           
   2.102 | 2  |    0.124    0.230    0.970 |    13.2    -7.2  -102.5
   2.102 | 3  |         Comm Error         |            -           
   2.102 | 4  |         Comm Error         |            -           
   2.102 | 5  |    0.970   -0.048    0.275 |   -10.2   -73.4   -21.5
   2.140 | 0  |    0.859   -0.036   -0.548 |  -176.4   -57.7   -27.8
   2.140 | 1  |         Comm Error         |            -           
   2.140 | 2  |    0.132    0.214    0.948 |    13.1    -7.2  -102.4
   2.140 | 3  |         Comm Error         |            -           
   2.140 | 4  |         Comm Error         |            -           
   2.140 | 5  |    0.972   -0.043    0.267 |   -10.0   -73.5   -21.6
   2.178 | 0  |    0.865   -0.033   -0.554 |  -176.4   -57.5   -27.7
   2.178 | 1  |         Comm Error         |            -           
   2.178 | 2  |    0.120    0.217    0.945 |    12.9    -7.1  -102.4
   2.178 | 3  |         Comm Error         |            -           
   2.178 | 4  |         Comm Error         |            -           
   2.178 | 5  |    0.963   -0.049    0.260 |   -10.0   -73.6   -21.6
   2.217 | 0  |    0.868   -0.023   -0.564 |  -176.6   -57.4   -27.5
   2.217 | 1  |         Comm Error         |            -           
   2.217 | 2  |    0.128    0.224    0.968 |    12.8    -7.1  -102.3
   2.217 | 3  |         Comm Error         |            -           
   2.217 | 4  |         Comm Error         |            -           
   2.217 | 5  |    0.966   -0.051    0.257 |   -10.1   -73.6   -21.4
   2.254 | 0  |    0.863   -0.018   -0.562 |  -176.9   -57.2   -27.2
   2.254 | 1  |         Comm Error         |            -           
   2.254 | 2  |    0.130    0.224    0.982 |    12.7    -7.2  -102.2
   2.254 | 3  |         Comm Error         |            -           
   2.254 | 4  |         Comm Error         |            -           
   2.254 | 5  |    0.972   -0.048    0.261 |   -10.1   -73.7   -21.4
   2.294 | 0  |    0.860   -0.025   -0.555 |  -177.0   -57.1   -27.1
   2.294 | 1  |         Comm Error         |            -           
   2.294 | 2  |    0.125    0.219    0.991 |    12.6    -7.2  -102.2
   2.294 | 3  |         Comm Error         |            -           
   2.294 | 4  |         Comm Error         |            -           
   2.294 | 5  |    0.970   -0.052    0.258 |   -10.2   -73.7   -21.3
   2.332 | 0  |    0.853   -0.034   -0.555 |  -176.9   -57.0   -27.2
   2.332 | 1  |         Comm Error         |            -           
   2.332 | 2  |    0.117    0.225    0.994 |    12.6    -7.1  -102.2
   2.332 | 3  |         Comm Error         |            -           
   2.332 | 4  |         Comm Error         |            -           
   2.332 | 5  |    0.969   -0.044    0.272 |    -9.9   -73.6   -21.5
   2.370 | 0  |    0.859   -0.037   -0.558 |  -176.8   -56.9   -27.4
   2.370 | 1  |         Comm Error         |            -           
   2.370 | 2  |    0.129    0.219    0.989 |    12.6    -7.1  -102.1
   2.370 | 3  |         Comm Error         |            -           
   2.370 | 4  |         Comm Error         |            -           
   2.370 | 5  |    0.972   -0.043    0.266 |    -9.7   -73.6   -21.6
   2.408 | 0  |    0.868   -0.039   -0.557 |  -176.6   -57.0   -27.5
   2.408 | 1  |         Comm Error         |            -           
   2.408 | 2  |    0.125    0.214    0.980 |    12.5    -7.2  -102.0
   2.408 | 3  |         Comm Error         |            -           
   2.408 | 4  |         Comm Error         |            -           
   2.408 | 5  |    0.971   -0.047    0.265 |    -9.7   -73.6   -21.7
   2.447 | 0  |    0.864   -0.037   -0.555 |  -176.6   -57.0   -27.6
   2.447 | 1  |         Comm Error         |            -           
   2.447 | 2  |    0.134    0.219    0.971 |    12.6    -7.3  -102.0
   2.447 | 3  |         Comm Error         |            -           
   2.447 | 4  |         Comm Error         |            -           
   2.447 | 5  |    0.965   -0.043    0.270 |    -9.6   -73.5   -21.7
   2.484 | 0  |    0.863   -0.032   -0.548 |  -176.6   -57.1   -27.5
   2.484 | 1  |         Comm Error         |            -           
   2.484 | 2  |    0.134    0.220    0.968 |    12.6    -7.4  -102.0
   2.484 | 3  |         Comm Error         |            -           
   2.484 | 4  |         Comm Error         |            -           
   2.484 | 5  |    0.966   -0.045    0.268 |    -9.5   -73.5   -21.8
   2.523 | 0  |    0.868   -0.029   -0.546 |  -176.7   -57.3   -27.4
   2.523 | 1  |         Comm Error         |            -           
   2.523 | 2  |    0.136    0.221    0.966 |    12.7    -7.5  -101.9
   2.523 | 3  |         Comm Error         |            -           
   2.523 | 4  |         Comm Error         |            -           
   2.523 | 5  |    0.967   -0.047    0.267 |    -9.5   -73.5   -21.7
   2.561 | 0  |    0.867   -0.026   -0.541 |  -176.7   -57.5   -27.4
   2.561 | 1  |         Comm Error         |            -           
   2.561 | 2  |    0.133    0.223    0.965 |    12.7    -7.6  -101.9
   2.561 | 3  |         Comm Error         |            -           
   2.561 | 4  |         Comm Error         |            -           
   2.561 | 5  |    0.965   -0.045    0.272 |    -9.4   -73.5   -21.8
