
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.346 | 2  |    0.197   -0.968   -0.111 |   -96.2   -11.4   -56.1
   1.346 | 3  |         Comm Error         |            -           
   1.346 | 4  |         Comm Error         |            -           
   1.346 | 5  |    0.982   -0.087    0.209 |   -21.8   -76.1    54.0
   1.384 | 0  |    0.704   -0.068   -0.756 |  -175.4   -43.6  -158.9
   1.384 | 1  |         Comm Error         |            -           
   1.384 | 2  |    0.199   -0.970   -0.111 |   -96.2   -11.4   -56.1
   1.384 | 3  |         Comm Error         |            -           
   1.384 | 4  |         Comm Error         |            -           
   1.384 | 5  |    0.980   -0.088    0.208 |   -21.9   -76.1    54.1
   1.422 | 0  |    0.735   -0.060   -0.765 |  -176.1   -42.9  -158.5
   1.422 | 1  |         Comm Error         |            -           
   1.422 | 2  |    0.199   -0.966   -0.107 |   -96.2   -11.4   -56.1
   1.422 | 3  |         Comm Error         |            -           
   1.422 | 4  |         Comm Error         |            -           
   1.422 | 5  |    0.976   -0.088    0.208 |   -22.0   -76.1    54.1
   1.460 | 0  |    0.687   -0.055   -0.784 |  -176.8   -41.9  -157.9
   1.460 | 1  |         Comm Error         |            -           
   1.460 | 2  |    0.193   -0.963   -0.107 |   -96.1   -11.4   -56.1
   1.460 | 3  |         Comm Error         |            -           
   1.460 | 4  |         Comm Error         |            -           
   1.460 | 5  |    0.980   -0.088    0.213 |   -21.9   -76.0    54.1
   1.499 | 0  |    0.694   -0.043   -0.799 |  -177.3   -41.8  -157.4
   1.499 | 1  |         Comm Error         |            -           
   1.499 | 2  |    0.193   -0.968   -0.113 |   -96.1   -11.4   -56.1
   1.499 | 3  |         Comm Error         |            -           
   1.499 | 4  |         Comm Error         |            -           
