
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
    1.302 | 2  |    0.270    0.973    0.091 |     84.1    -15.8      3.1
    1.302 | 3  |    0.992   -0.037    0.250 |     -7.6    -74.8   -165.4
    1.302 | 4  |    1.008   -0.016    0.013 |    -45.0    -85.2   -170.7
    1.302 | 5  |    1.017   -0.092   -0.146 |   -149.2    -79.5    -22.5
    1.336 | 1  |    0.346   -0.924    0.064 |    -83.4    -18.7    127.2
    1.336 | 2  |    0.276    0.972    0.088 |     84.2    -15.8      3.1
    1.336 | 3  |    0.993   -0.037    0.249 |     -7.8    -74.8   -165.1
    1.336 | 4  |    1.008   -0.021    0.013 |    -48.2    -85.2   -166.4
    1.336 | 5  |    1.019   -0.080   -0.128 |   -148.9    -79.6    -22.8
    1.371 | 1  |    0.326   -0.933    0.061 |    -83.8    -18.9    125.5
    1.371 | 2  |    0.274    0.971    0.084 |     84.3    -15.8      3.1
    1.371 | 3  |    0.991   -0.040    0.245 |     -8.2    -74.8   -164.7
    1.371 | 4  |    1.002   -0.027    0.016 |    -51.6    -85.2   -162.2
    1.371 | 5  |    1.019   -0.092   -0.141 |   -148.5    -79.8    -23.6
    1.405 | 1  |    0.357   -0.936    0.041 |    -84.5    -19.1    124.1
    1.405 | 2  |    0.285    0.968    0.062 |     84.5    -15.9      3.1
    1.405 | 3  |    0.989   -0.039    0.236 |     -8.4    -74.9   -164.3
    1.405 | 4  |    0.999   -0.020    0.006 |    -60.9    -85.2   -150.1
    1.405 | 5  |    1.014   -0.073   -0.154 |   -149.2    -79.9    -23.2
    1.439 | 1  |    0.385   -0.928   -0.000 |    -85.4    -19.7    122.3
    1.439 | 2  |    0.322    0.959    0.024 |     85.2    -16.4      3.1
    1.439 | 3  |    0.982   -0.040    0.244 |     -8.8    -74.9   -163.8
    1.439 | 4  |    0.995   -0.063    0.027 |    -67.9    -85.1   -144.6
    1.439 | 5  |    1.014   -0.111   -0.165 |   -148.8    -79.7    -24.0
    1.473 | 1  |    0.374   -0.941   -0.031 |    -86.7    -20.4    119.3
    1.473 | 2  |    0.389    0.956   -0.024 |     85.9    -17.4      3.1
    1.473 | 3  |    0.991   -0.024    0.259 |     -8.6    -74.8   -163.9
    1.473 | 4  |    0.993   -0.045   -0.017 |    -80.1    -85.0   -131.7
    1.473 | 5  |    1.024   -0.044   -0.142 |   -149.8    -79.9    -23.3
    1.508 | 1  |    0.445   -0.987   -0.079 |    -88.1    -21.1    117.5
    1.508 | 2  |    0.460    0.964   -0.021 |     87.1    -19.5      3.0
    1.508 | 3  |    0.999   -0.023    0.262 |     -8.1    -74.8   -164.2
    1.508 | 4  |    1.021   -0.022   -0.056 |   -102.4    -84.9   -108.2
    1.508 | 5  |    1.024   -0.061   -0.141 |   -151.2    -80.1    -22.2
    1.542 | 1  |    0.577   -0.983   -0.125 |    -90.6    -23.2    115.6
    1.542 | 2  |    0.851    0.963   -0.045 |     88.0    -23.3      3.3
    1.542 | 3  |    0.999   -0.031    0.235 |     -8.0    -74.8   -164.1
    1.542 | 4  |    1.026    0.009   -0.053 |   -120.6    -84.9    -86.8
    1.542 | 5  |    1.026   -0.062   -0.140 |   -151.5    -80.2    -22.1
    1.577 | 1  |    0.743   -0.988   -0.153 |    -92.3    -25.9    114.0
    1.577 | 2  |    0.976    1.014   -0.087 |     88.7    -27.9      3.9
    1.577 | 3  |    0.994   -0.012    0.250 |     -7.7    -74.9   -164.4
    1.577 | 4  |    1.008   -0.103   -0.024 |   -120.8    -84.5    -91.1
    1.577 | 5  |    1.017   -0.065   -0.129 |   -151.5    -80.4    -22.3
    1.612 | 1  |    0.816   -0.982   -0.139 |    -94.2    -30.4    111.2
    1.612 | 2  |    1.013    0.996   -0.063 |     89.4    -34.5      5.7
    1.612 | 3  |    0.987   -0.011    0.266 |     -6.7    -74.6   -165.4
    1.612 | 4  |    1.021    0.052   -0.013 |   -120.7    -84.6    -88.8
    1.612 | 5  |    1.016   -0.061   -0.145 |   -152.1    -80.4    -21.9
    1.646 | 1  |    0.873   -1.000   -0.108 |    -94.8    -34.3    108.2
    1.646 | 2  |    1.047    1.043   -0.077 |     89.6    -39.4      7.8
    1.646 | 3  |    0.997   -0.022    0.266 |     -6.1    -74.4   -165.9
    1.646 | 4  |    1.030    0.246   -0.101 |    167.7    -85.0    -22.3
    1.646 | 5  |    1.022   -0.081   -0.150 |   -152.1    -80.4    -22.4
    1.681 | 1  |    0.910   -1.047   -0.069 |    -94.3    -39.5    102.8
    1.681 | 2  |    1.041    1.161   -0.074 |     89.5    -45.1     11.6
    1.681 | 3  |    1.014   -0.031    0.260 |     -5.9    -74.2   -165.9
    1.681 | 4  |    1.027   -0.091   -0.043 |    175.6    -85.0    -29.4
    1.681 | 5  |    1.021   -0.081   -0.138 |   -150.9    -80.3    -23.1
    1.715 | 1  |    0.837   -1.083   -0.013 |    -92.2    -43.1     97.0
    1.715 | 2  |    0.845    1.177   -0.058 |     88.7    -48.3     15.2
    1.715 | 3  |    1.009   -0.000    0.263 |     -5.3    -74.2   -166.4
    1.715 | 4  |    1.015   -0.003   -0.101 |   -161.7    -85.0    -48.7
    1.715 | 5  |    1.021   -0.056   -0.110 |   -150.1    -80.4    -23.7
    1.749 | 1  |    0.725   -1.102    0.026 |    -89.0    -45.7     90.6
    1.749 | 2  |    0.773    1.138   -0.011 |     87.3    -51.7     19.3
    1.749 | 3  |    1.002    0.011    0.297 |     -3.7    -73.9   -168.2
    1.749 | 4  |    1.001   -0.043   -0.024 |   -161.8    -85.0    -49.7
    1.749 | 5  |    1.022   -0.072   -0.137 |   -149.8    -80.5    -24.1
    1.783 | 1  |    0.669   -1.029    0.062 |    -84.6    -48.4     82.9
    1.783 | 2  |    0.680    1.052    0.034 |     86.6    -53.6     22.2
    1.783 | 3  |    0.985   -0.026    0.285 |     -3.3    -73.6   -168.9
    1.783 | 4  |    1.000   -0.060    0.045 |   -120.2    -85.1    -83.3
    1.783 | 5  |    1.018   -0.079   -0.151 |   -149.7    -80.4    -24.2
    1.817 | 1  |    0.642   -0.968    0.077 |    -81.5    -50.0     78.2
    1.817 | 2  |    0.588    0.974    0.054 |     85.7    -54.7     24.8
    1.817 | 3  |    0.993   -0.047    0.269 |     -3.6    -73.6   -168.6
    1.817 | 4  |    1.006   -0.028    0.049 |    -95.7    -85.2   -105.3
    1.817 | 5  |    1.020   -0.084   -0.134 |   -148.9    -80.3    -25.1
    1.852 | 1  |    0.637   -0.900    0.081 |    -78.1    -51.9     73.3
    1.852 | 2  |    0.549    0.878    0.081 |     85.0    -55.6     27.3
    1.852 | 3  |    0.996   -0.046    0.272 |     -4.5    -73.5   -168.1
    1.852 | 4  |    1.006   -0.017    0.023 |    -75.3    -85.2   -132.4
    1.852 | 5  |    1.019   -0.095   -0.086 |   -146.9    -80.4    -27.0
    1.886 | 1  |    0.604   -0.793    0.088 |    -76.0    -53.0     70.4
